const_parse	dep_parse	ner	sentence	sentenceid	storyid	storytitle
"(ROOT
  (S
    (NP (NNP Jude))
    (VP (VBD was)
      (ADJP (RB very) (VBN excited)
        (PP (IN about)
          (NP (PRP$ his) (NN college) (NN graduation) (NN ceremony)))))
    (. .)))"	"Jude	NNP	4	nsubjpass
was	VBD	4	auxpass
very	RB	4	advmod
excited	VBN	0	ROOT
about	IN	9	case
his	PRP$	9	nmod:poss
college	NN	9	compound
graduation	NN	9	compound
ceremony	NN	4	nmod
.	.	4	punct
"	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Jude', 'characterOffsetBegin': 0, 'characterOffsetEnd': 4, 'ner': 'PERSON'}, {'docTokenBegin': 5, 'docTokenEnd': 6, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'his', 'characterOffsetBegin': 28, 'characterOffsetEnd': 31, 'ner': 'PERSON'}]"	Jude was very excited about his college graduation ceremony.	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_0	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	Traffic Troubles
"(ROOT
  (S
    (PP (IN On)
      (NP
        (NP (DT the) (NN way))
        (PP (TO to)
          (NP (DT the) (NN arena)))))
    (, ,)
    (NP (PRP he))
    (VP (VBD got)
      (VP (VBN stuck)
        (PP (IN in)
          (NP (NN traffic)))))
    (. .)))"	"On	IN	3	case
the	DT	3	det
way	NN	10	nmod
to	TO	6	case
the	DT	6	det
arena	NN	3	nmod
,	,	10	punct
he	PRP	10	nsubjpass
got	VBD	10	auxpass
stuck	VBN	0	ROOT
in	IN	12	case
traffic	NN	10	nmod
.	.	10	punct
"	"[{'docTokenBegin': 17, 'docTokenEnd': 18, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'he', 'characterOffsetBegin': 86, 'characterOffsetEnd': 88, 'ner': 'PERSON'}]"	"On the way to the arena, he got stuck in traffic."	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_1	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	Traffic Troubles
"(ROOT
  (S
    (NP (PRP He))
    (ADVP (RB only))
    (VP (VBD had)
      (NP (DT an) (NN hour))
      (SBAR (IN before)
        (S
          (NP (DT the) (NN ceremony))
          (VP (VBD started)))))
    (. .)))"	"He	PRP	3	nsubj
only	RB	3	advmod
had	VBD	0	ROOT
an	DT	5	det
hour	NN	3	dobj
before	IN	9	mark
the	DT	8	det
ceremony	NN	9	nsubj
started	VBD	3	advcl
.	.	3	punct
"	"[{'docTokenBegin': 26, 'docTokenEnd': 28, 'tokenBegin': 3, 'tokenEnd': 5, 'text': 'an hour', 'characterOffsetBegin': 123, 'characterOffsetEnd': 130, 'ner': 'DURATION', 'normalizedNER': 'PT1H', 'timex': {'tid': 't1', 'type': 'DURATION', 'value': 'PT1H'}}, {'docTokenBegin': 23, 'docTokenEnd': 24, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 111, 'characterOffsetEnd': 113, 'ner': 'PERSON'}]"	He only had an hour before the ceremony started.	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_2	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	Traffic Troubles
"(ROOT
  (S
    (NP (PRP He))
    (VP (VBD thought)
      (SBAR
        (S
          (NP (PRP he))
          (VP (VBD was) (RB n't)
            (VP (VBG going)
              (S
                (VP (TO to)
                  (VP (VB be)
                    (ADJP (JJ able)
                      (S
                        (VP (TO to)
                          (VP (VB make)
                            (NP (PRP it))
                            (PP (IN in)
                              (NP (NN time)))))))))))))))
    (. .)))"	"He	PRP	2	nsubj
thought	VBD	0	ROOT
he	PRP	6	nsubj
was	VBD	6	aux
n't	RB	6	neg
going	VBG	2	ccomp
to	TO	9	mark
be	VB	9	cop
able	JJ	6	xcomp
to	TO	11	mark
make	VB	9	xcomp
it	PRP	11	dobj
in	IN	14	case
time	NN	11	nmod
.	.	2	punct
"	"[{'docTokenBegin': 33, 'docTokenEnd': 34, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 160, 'characterOffsetEnd': 162, 'ner': 'PERSON'}, {'docTokenBegin': 35, 'docTokenEnd': 36, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'he', 'characterOffsetBegin': 171, 'characterOffsetEnd': 173, 'ner': 'PERSON'}]"	He thought he wasn't going to be able to make it in time.	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_3	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	Traffic Troubles
"(ROOT
  (S
    (ADVP (RB Luckily))
    (, ,)
    (NP (DT the) (NN traffic))
    (VP (VBD cleared)
      (PRT (RP up))
      (PP (IN in)
        (NP
          (NP (NN time))
          (PP (IN for)
            (NP (PRP him)))))
      (S
        (VP (TO to)
          (VP (VB get)
            (PP (TO to)
              (NP (DT the) (NN ceremony)))))))
    (. .)))"	"Luckily	RB	5	advmod
,	,	5	punct
the	DT	4	det
traffic	NN	5	nsubj
cleared	VBD	0	ROOT
up	RP	5	compound:prt
in	IN	8	case
time	NN	5	nmod
for	IN	12	mark
him	PRP	12	nsubj
to	TO	12	mark
get	VB	5	advcl
to	TO	15	case
the	DT	15	det
ceremony	NN	12	nmod
.	.	5	punct
"	"[{'docTokenBegin': 57, 'docTokenEnd': 58, 'tokenBegin': 9, 'tokenEnd': 10, 'text': 'him', 'characterOffsetBegin': 262, 'characterOffsetEnd': 265, 'ner': 'PERSON'}]"	"Luckily, the traffic cleared up in time for him to get to the ceremony."	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_4	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	Traffic Troubles
"(ROOT
  (S
    (NP (NNP Beth))
    (VP (VBD sent)
      (NP (DT a) (NN letter))
      (PP (TO to)
        (NP (NNP Santa) (NNP Claus))))
    (. .)))"	"Beth	NNP	2	nsubj
sent	VBD	0	ROOT
a	DT	4	det
letter	NN	2	dobj
to	TO	7	case
Santa	NNP	7	compound
Claus	NNP	2	nmod
.	.	2	punct
"	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Beth', 'characterOffsetBegin': 0, 'characterOffsetEnd': 4, 'ner': 'PERSON'}, {'docTokenBegin': 5, 'docTokenEnd': 6, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'Santa', 'characterOffsetBegin': 22, 'characterOffsetEnd': 27, 'ner': 'CITY'}, {'docTokenBegin': 6, 'docTokenEnd': 7, 'tokenBegin': 6, 'tokenEnd': 7, 'text': 'Claus', 'characterOffsetBegin': 28, 'characterOffsetEnd': 33, 'ner': 'LOCATION'}]"	Beth sent a letter to Santa Claus.	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_0	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	Not Santa
"(ROOT
  (S
    (NP (PRP She))
    (VP (VBD received)
      (NP (DT a) (NN letter))
      (ADVP (RB back))
      (PP (IN in)
        (NP (DT the) (NN mail))))
    (. .)))"	"She	PRP	2	nsubj
received	VBD	0	ROOT
a	DT	4	det
letter	NN	2	dobj
back	RB	4	advmod
in	IN	8	case
the	DT	8	det
mail	NN	5	nmod
.	.	2	punct
"	"[{'docTokenBegin': 8, 'docTokenEnd': 9, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'She', 'characterOffsetBegin': 35, 'characterOffsetEnd': 38, 'ner': 'PERSON'}]"	She received a letter back in the mail.	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_1	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	Not Santa
"(ROOT
  (S
    (NP (NNP Beth))
    (VP (VBD did) (RB not)
      (VP (VB think)
        (SBAR (IN that)
          (S
            (NP (PRP it))
            (VP (VBD sounded)
              (PP (IN like)
                (NP (DT the) (JJ real) (NNP Santa))))))))
    (. .)))"	"Beth	NNP	4	nsubj
did	VBD	4	aux
not	RB	4	neg
think	VB	0	ROOT
that	IN	7	mark
it	PRP	7	nsubj
sounded	VBD	4	ccomp
like	IN	11	case
the	DT	11	det
real	JJ	11	amod
Santa	NNP	7	nmod
.	.	4	punct
"	"[{'docTokenBegin': 17, 'docTokenEnd': 18, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Beth', 'characterOffsetBegin': 75, 'characterOffsetEnd': 79, 'ner': 'PERSON'}, {'docTokenBegin': 27, 'docTokenEnd': 28, 'tokenBegin': 10, 'tokenEnd': 11, 'text': 'Santa', 'characterOffsetBegin': 124, 'characterOffsetEnd': 129, 'ner': 'CITY'}]"	Beth did not think that it sounded like the real Santa.	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_2	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	Not Santa
"(ROOT
  (S
    (NP (PRP She))
    (VP (VBD sent)
      (NP
        (NP (DT another) (NN letter))
        (VP (VBG calling)
          (SBAR (IN that)
            (S
              (NP (NNP Santa))
              (NP (DT a) (NN fake)))))))
    (. .)))"	"She	PRP	2	nsubj
sent	VBD	0	ROOT
another	DT	4	det
letter	NN	2	dobj
calling	VBG	4	acl
that	IN	9	mark
Santa	NNP	9	nsubj
a	DT	9	det
fake	NN	5	ccomp
.	.	2	punct
"	"[{'docTokenBegin': 35, 'docTokenEnd': 36, 'tokenBegin': 6, 'tokenEnd': 7, 'text': 'Santa', 'characterOffsetBegin': 168, 'characterOffsetEnd': 173, 'ner': 'CITY'}, {'docTokenBegin': 29, 'docTokenEnd': 30, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'She', 'characterOffsetBegin': 131, 'characterOffsetEnd': 134, 'ner': 'PERSON'}]"	She sent another letter calling that Santa a fake.	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_3	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	Not Santa
"(ROOT
  (S
    (NP (PRP She))
    (VP (VBD did) (RB not)
      (VP (VB receive)
        (NP (DT another) (NN letter))
        (ADVP (RB back))
        (PP (IN in)
          (NP (DT the) (NN mail)))))
    (. .)))"	"She	PRP	4	nsubj
did	VBD	4	aux
not	RB	4	neg
receive	VB	0	ROOT
another	DT	6	det
letter	NN	4	dobj
back	RB	4	advmod
in	IN	10	case
the	DT	10	det
mail	NN	7	nmod
.	.	4	punct
"	"[{'docTokenBegin': 39, 'docTokenEnd': 40, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'She', 'characterOffsetBegin': 182, 'characterOffsetEnd': 185, 'ner': 'PERSON'}]"	She did not receive another letter back in the mail.	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_4	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	Not Santa
"(ROOT
  (S
    (NP (NNP Jake))
    (VP (VBD needed)
      (NP (DT a) (NN ride))
      (PP (TO to)
        (NP (DT the) (NN store))))
    (. .)))"	"Jake	NNP	2	nsubj
needed	VBD	0	ROOT
a	DT	4	det
ride	NN	2	dobj
to	TO	7	case
the	DT	7	det
store	NN	4	nmod
.	.	2	punct
"	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Jake', 'characterOffsetBegin': 0, 'characterOffsetEnd': 4, 'ner': 'PERSON'}]"	Jake needed a ride to the store.	b94e1810-9869-4af6-bb74-b4a51c46f3d2_0	b94e1810-9869-4af6-bb74-b4a51c46f3d2	Getting to the Store
"(ROOT
  (S
    (NP (PRP$ His) (NN girlfriend))
    (VP
      (VP (VBD was)
        (VP (VBG working)))
      (CC and)
      (VP (MD would) (RB n't)
        (VP (VB take)
          (NP (PRP him)))))
    (. .)))"	"His	PRP$	2	nmod:poss
girlfriend	NN	4	nsubj
was	VBD	4	aux
working	VBG	0	ROOT
and	CC	4	cc
would	MD	8	aux
n't	RB	8	neg
take	VB	4	conj
him	PRP	8	dobj
.	.	4	punct
"	"[{'docTokenBegin': 8, 'docTokenEnd': 9, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'His', 'characterOffsetBegin': 33, 'characterOffsetEnd': 36, 'ner': 'PERSON'}, {'docTokenBegin': 16, 'docTokenEnd': 17, 'tokenBegin': 8, 'tokenEnd': 9, 'text': 'him', 'characterOffsetBegin': 78, 'characterOffsetEnd': 81, 'ner': 'PERSON'}]"	His girlfriend was working and wouldn't take him.	b94e1810-9869-4af6-bb74-b4a51c46f3d2_1	b94e1810-9869-4af6-bb74-b4a51c46f3d2	Getting to the Store
"(ROOT
  (S
    (NP (PRP$ His) (NN brother))
    (VP
      (VP (VBD was)
        (PP (IN in)
          (NP
            (NP (DT the) (NN middle))
            (PP (IN of)
              (NP (DT a) (NN movie))))))
      (CC and)
      (VP (VBD said)
        (NP (DT no))))
    (. .)))"	"His	PRP$	2	nmod:poss
brother	NN	6	nsubj
was	VBD	6	cop
in	IN	6	case
the	DT	6	det
middle	NN	0	ROOT
of	IN	9	case
a	DT	9	det
movie	NN	6	nmod
and	CC	6	cc
said	VBD	6	conj
no	DT	11	discourse
.	.	6	punct
"	"[{'docTokenBegin': 18, 'docTokenEnd': 19, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'His', 'characterOffsetBegin': 83, 'characterOffsetEnd': 86, 'ner': 'PERSON'}]"	His brother was in the middle of a movie and said no.	b94e1810-9869-4af6-bb74-b4a51c46f3d2_2	b94e1810-9869-4af6-bb74-b4a51c46f3d2	Getting to the Store
"(ROOT
  (S
    (NP (NNP Jake))
    (VP (VBD decided)
      (S
        (VP (TO to)
          (VP (VB take)
            (NP (DT the) (NN bus))
            (PP (TO to)
              (NP (DT the) (NN store)))))))
    (. .)))"	"Jake	NNP	2	nsubj
decided	VBD	0	ROOT
to	TO	4	mark
take	VB	2	xcomp
the	DT	6	det
bus	NN	4	dobj
to	TO	9	case
the	DT	9	det
store	NN	4	nmod
.	.	2	punct
"	"[{'docTokenBegin': 31, 'docTokenEnd': 32, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Jake', 'characterOffsetBegin': 137, 'characterOffsetEnd': 141, 'ner': 'PERSON'}]"	Jake decided to take the bus to the store.	b94e1810-9869-4af6-bb74-b4a51c46f3d2_3	b94e1810-9869-4af6-bb74-b4a51c46f3d2	Getting to the Store
"(ROOT
  (S
    (NP (PRP He))
    (VP (VBD got)
      (SBAR
        (WHNP (WP what))
        (S
          (NP (PRP he))
          (VP (VBD needed)
            (NP (DT all))
            (PP (IN by)
              (NP (PRP himself)))))))
    (. .)))"	"He	PRP	2	nsubj
got	VBD	0	ROOT
what	WP	5	dobj
he	PRP	5	nsubj
needed	VBD	2	ccomp
all	DT	5	dobj
by	IN	8	case
himself	PRP	5	nmod
.	.	2	punct
"	"[{'docTokenBegin': 41, 'docTokenEnd': 42, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 180, 'characterOffsetEnd': 182, 'ner': 'PERSON'}, {'docTokenBegin': 44, 'docTokenEnd': 45, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'he', 'characterOffsetBegin': 192, 'characterOffsetEnd': 194, 'ner': 'PERSON'}]"	He got what he needed all by himself.	b94e1810-9869-4af6-bb74-b4a51c46f3d2_4	b94e1810-9869-4af6-bb74-b4a51c46f3d2	Getting to the Store
"(ROOT
  (S
    (NP (PRP$ My) (NN dog))
    (VP (VBZ is)
      (NP
        (NP (VBN terrified))
        (PP (IN of)
          (NP (NN thunder)))))
    (. .)))"	"My	PRP$	2	nmod:poss
dog	NN	4	nsubjpass
is	VBZ	4	auxpass
terrified	VBN	0	ROOT
of	IN	6	case
thunder	NN	4	nmod
.	.	4	punct
"	[]	My dog is terrified of thunder.	ae7e744e-fd27-46c2-befb-7e8427cb679c_0	ae7e744e-fd27-46c2-befb-7e8427cb679c	Storm
"(ROOT
  (S
    (NP (EX There))
    (VP (VBD was)
      (NP (DT a) (NN storm) (NN today)))
    (. .)))"	"There	EX	2	expl
was	VBD	0	ROOT
a	DT	4	det
storm	NN	2	nsubj
today	NN	2	nmod:tmod
.	.	2	punct
"	"[{'docTokenBegin': 10, 'docTokenEnd': 11, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'storm', 'characterOffsetBegin': 44, 'characterOffsetEnd': 49, 'ner': 'CAUSE_OF_DEATH'}, {'docTokenBegin': 11, 'docTokenEnd': 12, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'today', 'characterOffsetBegin': 50, 'characterOffsetEnd': 55, 'ner': 'DATE', 'normalizedNER': 'THIS P1D', 'timex': {'tid': 't1', 'type': 'DATE', 'altValue': 'THIS P1D'}}]"	There was a storm today.	ae7e744e-fd27-46c2-befb-7e8427cb679c_1	ae7e744e-fd27-46c2-befb-7e8427cb679c	Storm
"(ROOT
  (S
    (NP (PRP He))
    (VP (VBD came)
      (S
        (VP (VBG running)
          (PP (IN into)
            (NP (PRP$ my) (NN office))))))
    (. .)))"	"He	PRP	2	nsubj
came	VBD	0	ROOT
running	VBG	2	xcomp
into	IN	6	case
my	PRP$	6	nmod:poss
office	NN	3	nmod
.	.	2	punct
"	"[{'docTokenBegin': 13, 'docTokenEnd': 14, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 57, 'characterOffsetEnd': 59, 'ner': 'PERSON'}]"	He came running into my office.	ae7e744e-fd27-46c2-befb-7e8427cb679c_2	ae7e744e-fd27-46c2-befb-7e8427cb679c	Storm
"(ROOT
  (S
    (NP (PRP He))
    (VP (VBD hid)
      (PP (IN in)
        (NP
          (NP (DT the) (NN kneehole))
          (PP (IN of)
            (NP (PRP$ my) (NN desk)))))
      (, ,)
      (S
        (VP (VBG trembling))))
    (. .)))"	"He	PRP	2	nsubj
hid	VBD	0	ROOT
in	IN	5	case
the	DT	5	det
kneehole	NN	2	nmod
of	IN	8	case
my	PRP$	8	nmod:poss
desk	NN	5	nmod
,	,	2	punct
trembling	VBG	2	xcomp
.	.	2	punct
"	"[{'docTokenBegin': 20, 'docTokenEnd': 21, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 89, 'characterOffsetEnd': 91, 'ner': 'PERSON'}]"	"He hid in the kneehole of my desk, trembling."	ae7e744e-fd27-46c2-befb-7e8427cb679c_3	ae7e744e-fd27-46c2-befb-7e8427cb679c	Storm
"(ROOT
  (S
    (SBAR (RB Once)
      (S
        (NP (DT the) (NN storm))
        (VP (VBD was)
          (ADVP (RB over)))))
    (, ,)
    (NP (PRP he))
    (VP (VBD acted)
      (SBAR (IN like)
        (S
          (NP (DT a))
          (VP (VBP brave)
            (NP (NN dog))
            (ADVP (RB again))))))
    (. .)))"	"Once	RB	4	advmod
the	DT	3	det
storm	NN	4	nsubj
was	VBD	8	advcl
over	RB	4	advmod
,	,	8	punct
he	PRP	8	nsubj
acted	VBD	0	ROOT
like	IN	12	case
a	DT	12	det
brave	VBP	12	amod
dog	NN	8	nmod
again	RB	8	advmod
.	.	8	punct
"	"[{'docTokenBegin': 31, 'docTokenEnd': 32, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Once', 'characterOffsetBegin': 135, 'characterOffsetEnd': 139, 'ner': 'DATE', 'normalizedNER': 'PAST_REF', 'timex': {'tid': 't2', 'type': 'DATE', 'value': 'PAST_REF'}}, {'docTokenBegin': 33, 'docTokenEnd': 34, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'storm', 'characterOffsetBegin': 144, 'characterOffsetEnd': 149, 'ner': 'CAUSE_OF_DEATH'}, {'docTokenBegin': 37, 'docTokenEnd': 38, 'tokenBegin': 6, 'tokenEnd': 7, 'text': 'he', 'characterOffsetBegin': 160, 'characterOffsetEnd': 162, 'ner': 'PERSON'}]"	"Once the storm was over, he acted like a brave dog again."	ae7e744e-fd27-46c2-befb-7e8427cb679c_4	ae7e744e-fd27-46c2-befb-7e8427cb679c	Storm
"(ROOT
  (S
    (NP
      (NP (NNP Eric))
      (CC and)
      (NP (PRP$ his) (NN wife)))
    (VP (VBD had)
      (NP
        (NP (DT a) (NN daughter))
        (VP (VBN named)
          (NP (NNP Meg)))))
    (. .)))"	"Eric	NNP	5	nsubj
and	CC	1	cc
his	PRP$	4	nmod:poss
wife	NN	1	conj
had	VBD	0	ROOT
a	DT	7	det
daughter	NN	5	dobj
named	VBN	7	acl
Meg	NNP	8	xcomp
.	.	5	punct
"	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Eric', 'characterOffsetBegin': 0, 'characterOffsetEnd': 4, 'ner': 'PERSON'}, {'docTokenBegin': 8, 'docTokenEnd': 9, 'tokenBegin': 8, 'tokenEnd': 9, 'text': 'Meg', 'characterOffsetBegin': 39, 'characterOffsetEnd': 42, 'ner': 'PERSON'}, {'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'his', 'characterOffsetBegin': 9, 'characterOffsetEnd': 12, 'ner': 'PERSON'}]"	Eric and his wife had a daughter named Meg.	f3643541-c339-4377-851d-144ea400d551_0	f3643541-c339-4377-851d-144ea400d551	Stepmother
"(ROOT
  (S
    (NP
      (NP (NNP Eric) (POS 's))
      (NN wife))
    (VP (VBD passed)
      (ADVP (RB away)))
    (. .)))"	"Eric	NNP	3	nmod:poss
's	POS	1	case
wife	NN	4	nsubj
passed	VBD	0	ROOT
away	RB	4	advmod
.	.	4	punct
"	"[{'docTokenBegin': 10, 'docTokenEnd': 11, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Eric', 'characterOffsetBegin': 44, 'characterOffsetEnd': 48, 'ner': 'PERSON'}]"	Eric's wife passed away.	f3643541-c339-4377-851d-144ea400d551_1	f3643541-c339-4377-851d-144ea400d551	Stepmother
"(ROOT
  (S
    (NP (NNP Eric)
      (CC and)
      (NNP Meg))
    (VP (VBD were)
      (ADJP (RB very) (JJ sad)))
    (. .)))"	"Eric	NNP	6	nsubj
and	CC	1	cc
Meg	NNP	1	conj
were	VBD	6	cop
very	RB	6	advmod
sad	JJ	0	ROOT
.	.	6	punct
"	"[{'docTokenBegin': 16, 'docTokenEnd': 17, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Eric', 'characterOffsetBegin': 69, 'characterOffsetEnd': 73, 'ner': 'PERSON'}, {'docTokenBegin': 18, 'docTokenEnd': 19, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Meg', 'characterOffsetBegin': 78, 'characterOffsetEnd': 81, 'ner': 'PERSON'}]"	Eric and Meg were very sad.	f3643541-c339-4377-851d-144ea400d551_2	f3643541-c339-4377-851d-144ea400d551	Stepmother
"(ROOT
  (S
    (NP (NNP Eric))
    (VP
      (VP (VBD met)
        (NP (DT a) (NN woman)))
      (CC and)
      (VP (VBD married)
        (NP (PRP$ her) (CD 5) (NNS years))
        (SBAR (IN after)
          (S
            (NP (PRP$ his) (NN wife))
            (VP (VBD died))))))
    (. .)))"	"Eric	NNP	2	nsubj
met	VBD	0	ROOT
a	DT	4	det
woman	NN	2	dobj
and	CC	2	cc
married	VBD	2	conj
her	PRP$	9	nmod:poss
5	CD	9	nummod
years	NNS	6	dobj
after	IN	13	mark
his	PRP$	12	nmod:poss
wife	NN	13	nsubj
died	VBD	6	advcl
.	.	2	punct
"	"[{'docTokenBegin': 23, 'docTokenEnd': 24, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Eric', 'characterOffsetBegin': 97, 'characterOffsetEnd': 101, 'ner': 'PERSON'}, {'docTokenBegin': 30, 'docTokenEnd': 32, 'tokenBegin': 7, 'tokenEnd': 9, 'text': '5 years', 'characterOffsetBegin': 130, 'characterOffsetEnd': 137, 'ner': 'DURATION', 'normalizedNER': 'P5Y', 'timex': {'tid': 't1', 'type': 'DURATION', 'value': 'P5Y'}}, {'docTokenBegin': 29, 'docTokenEnd': 30, 'tokenBegin': 6, 'tokenEnd': 7, 'text': 'her', 'characterOffsetBegin': 126, 'characterOffsetEnd': 129, 'ner': 'PERSON'}, {'docTokenBegin': 33, 'docTokenEnd': 34, 'tokenBegin': 10, 'tokenEnd': 11, 'text': 'his', 'characterOffsetBegin': 144, 'characterOffsetEnd': 147, 'ner': 'PERSON'}]"	Eric met a woman and married her 5 years after his wife died.	f3643541-c339-4377-851d-144ea400d551_3	f3643541-c339-4377-851d-144ea400d551	Stepmother
"(ROOT
  (S
    (NP (NNP Meg))
    (VP (VBZ is)
      (ADVP (RB now))
      (ADJP (JJ happy)
        (PP (IN with)
          (NP (PRP$ her) (JJ new) (NN stepmother)))))
    (. .)))"	"Meg	NNP	4	nsubj
is	VBZ	4	cop
now	RB	4	advmod
happy	JJ	0	ROOT
with	IN	8	case
her	PRP$	8	nmod:poss
new	JJ	8	amod
stepmother	NN	4	nmod
.	.	4	punct
"	"[{'docTokenBegin': 37, 'docTokenEnd': 38, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Meg', 'characterOffsetBegin': 159, 'characterOffsetEnd': 162, 'ner': 'PERSON'}, {'docTokenBegin': 39, 'docTokenEnd': 40, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'now', 'characterOffsetBegin': 166, 'characterOffsetEnd': 169, 'ner': 'DATE', 'normalizedNER': 'PRESENT_REF', 'timex': {'tid': 't2', 'type': 'DATE', 'value': 'PRESENT_REF'}}, {'docTokenBegin': 42, 'docTokenEnd': 43, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'her', 'characterOffsetBegin': 181, 'characterOffsetEnd': 184, 'ner': 'PERSON'}]"	Meg is now happy with her new stepmother.	f3643541-c339-4377-851d-144ea400d551_4	f3643541-c339-4377-851d-144ea400d551	Stepmother
"(ROOT
  (S
    (NP-TMP (JJ Last) (NN year))
    (NP (PRP I))
    (VP (VBD took)
      (NP (DT a) (NN day) (NN trip))
      (S
        (VP (TO to)
          (VP (VB see)
            (NP
              (NP (DT a) (NN friend))
              (PP (IN in)
                (NP (NNP Maine))))))))
    (. .)))"	"Last	JJ	2	amod
year	NN	4	nmod:tmod
I	PRP	4	nsubj
took	VBD	0	ROOT
a	DT	7	det
day	NN	7	compound
trip	NN	4	dobj
to	TO	9	mark
see	VB	4	advcl
a	DT	11	det
friend	NN	9	dobj
in	IN	13	case
Maine	NNP	11	nmod
.	.	4	punct
"	"[{'docTokenBegin': 0, 'docTokenEnd': 2, 'tokenBegin': 0, 'tokenEnd': 2, 'text': 'Last year', 'characterOffsetBegin': 0, 'characterOffsetEnd': 9, 'ner': 'DATE', 'normalizedNER': 'THIS P1Y OFFSET P-1Y', 'timex': {'tid': 't1', 'type': 'DATE', 'altValue': 'THIS P1Y OFFSET P-1Y'}}, {'docTokenBegin': 4, 'docTokenEnd': 6, 'tokenBegin': 4, 'tokenEnd': 6, 'text': 'a day', 'characterOffsetBegin': 17, 'characterOffsetEnd': 22, 'ner': 'DURATION', 'normalizedNER': 'P1D', 'timex': {'tid': 't3', 'type': 'DURATION', 'value': 'P1D'}}, {'docTokenBegin': 12, 'docTokenEnd': 13, 'tokenBegin': 12, 'tokenEnd': 13, 'text': 'Maine', 'characterOffsetBegin': 47, 'characterOffsetEnd': 52, 'ner': 'STATE_OR_PROVINCE'}]"	Last year I took a day trip to see a friend in Maine.	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_0	2ef3788f-6b2b-45c8-b6ba-71450d565e6a	Maine
