sentence	sentenceid	storyid	storytitle	ner
So Laura quickly abandoned her corn garden idea.	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_4	13573c2e-5eed-40eb-bbe5-ed259b5c76a6	Corn	"[{'docTokenBegin': 36, 'docTokenEnd': 37, 'tokenBegin': 1, 'tokenEnd': 2, 'text': 'Laura', 'characterOffsetBegin': 175, 'characterOffsetEnd': 180, 'ner': 'PERSON'}, {'docTokenBegin': 39, 'docTokenEnd': 40, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'her', 'characterOffsetBegin': 199, 'characterOffsetEnd': 202, 'ner': 'PERSON'}]"
Andy was invited to a Halloween party.	c400d38a-54fc-45da-99ed-558fcfc81016_0	c400d38a-54fc-45da-99ed-558fcfc81016	New Hair Color	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Andy', 'characterOffsetBegin': 0, 'characterOffsetEnd': 4, 'ner': 'PERSON'}, {'docTokenBegin': 5, 'docTokenEnd': 6, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'Halloween', 'characterOffsetBegin': 22, 'characterOffsetEnd': 31, 'ner': 'DATE', 'normalizedNER': 'XXXX-10-31', 'timex': {'tid': 't1', 'type': 'DATE', 'value': 'XXXX-10-31'}}]"
"Andy figured that for dramatic effect, he should color his hair."	c400d38a-54fc-45da-99ed-558fcfc81016_1	c400d38a-54fc-45da-99ed-558fcfc81016	New Hair Color	"[{'docTokenBegin': 8, 'docTokenEnd': 9, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Andy', 'characterOffsetBegin': 39, 'characterOffsetEnd': 43, 'ner': 'PERSON'}, {'docTokenBegin': 15, 'docTokenEnd': 16, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'he', 'characterOffsetBegin': 78, 'characterOffsetEnd': 80, 'ner': 'PERSON'}, {'docTokenBegin': 18, 'docTokenEnd': 19, 'tokenBegin': 10, 'tokenEnd': 11, 'text': 'his', 'characterOffsetBegin': 94, 'characterOffsetEnd': 97, 'ner': 'PERSON'}]"
"Since Andy's costume was green, Andy decided on that color."	c400d38a-54fc-45da-99ed-558fcfc81016_2	c400d38a-54fc-45da-99ed-558fcfc81016	New Hair Color	"[{'docTokenBegin': 22, 'docTokenEnd': 23, 'tokenBegin': 1, 'tokenEnd': 2, 'text': 'Andy', 'characterOffsetBegin': 110, 'characterOffsetEnd': 114, 'ner': 'PERSON'}, {'docTokenBegin': 28, 'docTokenEnd': 29, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'Andy', 'characterOffsetBegin': 136, 'characterOffsetEnd': 140, 'ner': 'PERSON'}]"
"After the stylist finished the coloring, Andy regretted it."	c400d38a-54fc-45da-99ed-558fcfc81016_3	c400d38a-54fc-45da-99ed-558fcfc81016	New Hair Color	"[{'docTokenBegin': 36, 'docTokenEnd': 37, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'stylist', 'characterOffsetBegin': 174, 'characterOffsetEnd': 181, 'ner': 'TITLE'}, {'docTokenBegin': 41, 'docTokenEnd': 42, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'Andy', 'characterOffsetBegin': 205, 'characterOffsetEnd': 209, 'ner': 'PERSON'}]"
"Andy was disappointed with his new, bold, green hair color."	c400d38a-54fc-45da-99ed-558fcfc81016_4	c400d38a-54fc-45da-99ed-558fcfc81016	New Hair Color	"[{'docTokenBegin': 45, 'docTokenEnd': 46, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Andy', 'characterOffsetBegin': 224, 'characterOffsetEnd': 228, 'ner': 'PERSON'}, {'docTokenBegin': 49, 'docTokenEnd': 50, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'his', 'characterOffsetBegin': 251, 'characterOffsetEnd': 254, 'ner': 'PERSON'}]"
Luke was playing hockey at school.	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_0	8fbef343-8806-4bcf-9326-08ca6ebf6cb9	Winner	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Luke', 'characterOffsetBegin': 0, 'characterOffsetEnd': 4, 'ner': 'PERSON'}]"
The game was tied and almost over.	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_1	8fbef343-8806-4bcf-9326-08ca6ebf6cb9	Winner	[]
Then Luke made the winning shot!	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_2	8fbef343-8806-4bcf-9326-08ca6ebf6cb9	Winner	"[{'docTokenBegin': 16, 'docTokenEnd': 17, 'tokenBegin': 1, 'tokenEnd': 2, 'text': 'Luke', 'characterOffsetBegin': 75, 'characterOffsetEnd': 79, 'ner': 'PERSON'}]"
Everybody cheered!	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_3	8fbef343-8806-4bcf-9326-08ca6ebf6cb9	Winner	[]
Luke was so proud of himself!	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_4	8fbef343-8806-4bcf-9326-08ca6ebf6cb9	Winner	"[{'docTokenBegin': 25, 'docTokenEnd': 26, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Luke', 'characterOffsetBegin': 122, 'characterOffsetEnd': 126, 'ner': 'PERSON'}]"
Robbie was competing in a cross country meet.	3be3719a-ae77-4106-88ea-988afb19db99_0	3be3719a-ae77-4106-88ea-988afb19db99	Cross country	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Robbie', 'characterOffsetBegin': 0, 'characterOffsetEnd': 6, 'ner': 'PERSON'}]"
He was halfway through when his leg cramped up.	3be3719a-ae77-4106-88ea-988afb19db99_1	3be3719a-ae77-4106-88ea-988afb19db99	Cross country	"[{'docTokenBegin': 9, 'docTokenEnd': 10, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 46, 'characterOffsetEnd': 48, 'ner': 'PERSON'}, {'docTokenBegin': 14, 'docTokenEnd': 15, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'his', 'characterOffsetBegin': 74, 'characterOffsetEnd': 77, 'ner': 'PERSON'}]"
Robbie wasn't sure he could go on.	3be3719a-ae77-4106-88ea-988afb19db99_2	3be3719a-ae77-4106-88ea-988afb19db99	Cross country	"[{'docTokenBegin': 19, 'docTokenEnd': 20, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Robbie', 'characterOffsetBegin': 94, 'characterOffsetEnd': 100, 'ner': 'PERSON'}, {'docTokenBegin': 23, 'docTokenEnd': 24, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'he', 'characterOffsetBegin': 113, 'characterOffsetEnd': 115, 'ner': 'PERSON'}]"
He stopped for a minute and stretched his bad leg.	3be3719a-ae77-4106-88ea-988afb19db99_3	3be3719a-ae77-4106-88ea-988afb19db99	Cross country	"[{'docTokenBegin': 31, 'docTokenEnd': 33, 'tokenBegin': 3, 'tokenEnd': 5, 'text': 'a minute', 'characterOffsetBegin': 144, 'characterOffsetEnd': 152, 'ner': 'DURATION', 'normalizedNER': 'PT1M', 'timex': {'tid': 't1', 'type': 'DURATION', 'value': 'PT1M'}}, {'docTokenBegin': 28, 'docTokenEnd': 29, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 129, 'characterOffsetEnd': 131, 'ner': 'PERSON'}, {'docTokenBegin': 35, 'docTokenEnd': 36, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'his', 'characterOffsetBegin': 167, 'characterOffsetEnd': 170, 'ner': 'PERSON'}]"
Robbie began to run again and finished the race in second place.	3be3719a-ae77-4106-88ea-988afb19db99_4	3be3719a-ae77-4106-88ea-988afb19db99	Cross country	"[{'docTokenBegin': 39, 'docTokenEnd': 40, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Robbie', 'characterOffsetBegin': 180, 'characterOffsetEnd': 186, 'ner': 'PERSON'}, {'docTokenBegin': 49, 'docTokenEnd': 50, 'tokenBegin': 10, 'tokenEnd': 11, 'text': 'second', 'characterOffsetBegin': 231, 'characterOffsetEnd': 237, 'ner': 'ORDINAL', 'normalizedNER': '2.0'}]"
Jude was very excited about his college graduation ceremony.	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_0	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	Traffic Troubles	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Jude', 'characterOffsetBegin': 0, 'characterOffsetEnd': 4, 'ner': 'PERSON'}, {'docTokenBegin': 5, 'docTokenEnd': 6, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'his', 'characterOffsetBegin': 28, 'characterOffsetEnd': 31, 'ner': 'PERSON'}]"
"On the way to the arena, he got stuck in traffic."	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_1	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	Traffic Troubles	"[{'docTokenBegin': 17, 'docTokenEnd': 18, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'he', 'characterOffsetBegin': 86, 'characterOffsetEnd': 88, 'ner': 'PERSON'}]"
He only had an hour before the ceremony started.	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_2	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	Traffic Troubles	"[{'docTokenBegin': 26, 'docTokenEnd': 28, 'tokenBegin': 3, 'tokenEnd': 5, 'text': 'an hour', 'characterOffsetBegin': 123, 'characterOffsetEnd': 130, 'ner': 'DURATION', 'normalizedNER': 'PT1H', 'timex': {'tid': 't1', 'type': 'DURATION', 'value': 'PT1H'}}, {'docTokenBegin': 23, 'docTokenEnd': 24, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 111, 'characterOffsetEnd': 113, 'ner': 'PERSON'}]"
He thought he wasn't going to be able to make it in time.	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_3	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	Traffic Troubles	"[{'docTokenBegin': 33, 'docTokenEnd': 34, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 160, 'characterOffsetEnd': 162, 'ner': 'PERSON'}, {'docTokenBegin': 35, 'docTokenEnd': 36, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'he', 'characterOffsetBegin': 171, 'characterOffsetEnd': 173, 'ner': 'PERSON'}]"
"Luckily, the traffic cleared up in time for him to get to the ceremony."	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_4	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	Traffic Troubles	"[{'docTokenBegin': 57, 'docTokenEnd': 58, 'tokenBegin': 9, 'tokenEnd': 10, 'text': 'him', 'characterOffsetBegin': 262, 'characterOffsetEnd': 265, 'ner': 'PERSON'}]"
Beth sent a letter to Santa Claus.	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_0	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	Not Santa	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Beth', 'characterOffsetBegin': 0, 'characterOffsetEnd': 4, 'ner': 'PERSON'}, {'docTokenBegin': 5, 'docTokenEnd': 6, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'Santa', 'characterOffsetBegin': 22, 'characterOffsetEnd': 27, 'ner': 'CITY'}, {'docTokenBegin': 6, 'docTokenEnd': 7, 'tokenBegin': 6, 'tokenEnd': 7, 'text': 'Claus', 'characterOffsetBegin': 28, 'characterOffsetEnd': 33, 'ner': 'LOCATION'}]"
She received a letter back in the mail.	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_1	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	Not Santa	"[{'docTokenBegin': 8, 'docTokenEnd': 9, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'She', 'characterOffsetBegin': 35, 'characterOffsetEnd': 38, 'ner': 'PERSON'}]"
Beth did not think that it sounded like the real Santa.	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_2	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	Not Santa	"[{'docTokenBegin': 17, 'docTokenEnd': 18, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Beth', 'characterOffsetBegin': 75, 'characterOffsetEnd': 79, 'ner': 'PERSON'}, {'docTokenBegin': 27, 'docTokenEnd': 28, 'tokenBegin': 10, 'tokenEnd': 11, 'text': 'Santa', 'characterOffsetBegin': 124, 'characterOffsetEnd': 129, 'ner': 'CITY'}]"
She sent another letter calling that Santa a fake.	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_3	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	Not Santa	"[{'docTokenBegin': 35, 'docTokenEnd': 36, 'tokenBegin': 6, 'tokenEnd': 7, 'text': 'Santa', 'characterOffsetBegin': 168, 'characterOffsetEnd': 173, 'ner': 'CITY'}, {'docTokenBegin': 29, 'docTokenEnd': 30, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'She', 'characterOffsetBegin': 131, 'characterOffsetEnd': 134, 'ner': 'PERSON'}]"
She did not receive another letter back in the mail.	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_4	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	Not Santa	"[{'docTokenBegin': 39, 'docTokenEnd': 40, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'She', 'characterOffsetBegin': 182, 'characterOffsetEnd': 185, 'ner': 'PERSON'}]"
Jake needed a ride to the store.	b94e1810-9869-4af6-bb74-b4a51c46f3d2_0	b94e1810-9869-4af6-bb74-b4a51c46f3d2	Getting to the Store	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Jake', 'characterOffsetBegin': 0, 'characterOffsetEnd': 4, 'ner': 'PERSON'}]"
His girlfriend was working and wouldn't take him.	b94e1810-9869-4af6-bb74-b4a51c46f3d2_1	b94e1810-9869-4af6-bb74-b4a51c46f3d2	Getting to the Store	"[{'docTokenBegin': 8, 'docTokenEnd': 9, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'His', 'characterOffsetBegin': 33, 'characterOffsetEnd': 36, 'ner': 'PERSON'}, {'docTokenBegin': 16, 'docTokenEnd': 17, 'tokenBegin': 8, 'tokenEnd': 9, 'text': 'him', 'characterOffsetBegin': 78, 'characterOffsetEnd': 81, 'ner': 'PERSON'}]"
His brother was in the middle of a movie and said no.	b94e1810-9869-4af6-bb74-b4a51c46f3d2_2	b94e1810-9869-4af6-bb74-b4a51c46f3d2	Getting to the Store	"[{'docTokenBegin': 18, 'docTokenEnd': 19, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'His', 'characterOffsetBegin': 83, 'characterOffsetEnd': 86, 'ner': 'PERSON'}]"
Jake decided to take the bus to the store.	b94e1810-9869-4af6-bb74-b4a51c46f3d2_3	b94e1810-9869-4af6-bb74-b4a51c46f3d2	Getting to the Store	"[{'docTokenBegin': 31, 'docTokenEnd': 32, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Jake', 'characterOffsetBegin': 137, 'characterOffsetEnd': 141, 'ner': 'PERSON'}]"
He got what he needed all by himself.	b94e1810-9869-4af6-bb74-b4a51c46f3d2_4	b94e1810-9869-4af6-bb74-b4a51c46f3d2	Getting to the Store	"[{'docTokenBegin': 41, 'docTokenEnd': 42, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 180, 'characterOffsetEnd': 182, 'ner': 'PERSON'}, {'docTokenBegin': 44, 'docTokenEnd': 45, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'he', 'characterOffsetBegin': 192, 'characterOffsetEnd': 194, 'ner': 'PERSON'}]"
My dog is terrified of thunder.	ae7e744e-fd27-46c2-befb-7e8427cb679c_0	ae7e744e-fd27-46c2-befb-7e8427cb679c	Storm	[]
There was a storm today.	ae7e744e-fd27-46c2-befb-7e8427cb679c_1	ae7e744e-fd27-46c2-befb-7e8427cb679c	Storm	"[{'docTokenBegin': 10, 'docTokenEnd': 11, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'storm', 'characterOffsetBegin': 44, 'characterOffsetEnd': 49, 'ner': 'CAUSE_OF_DEATH'}, {'docTokenBegin': 11, 'docTokenEnd': 12, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'today', 'characterOffsetBegin': 50, 'characterOffsetEnd': 55, 'ner': 'DATE', 'normalizedNER': 'THIS P1D', 'timex': {'tid': 't1', 'type': 'DATE', 'altValue': 'THIS P1D'}}]"
He came running into my office.	ae7e744e-fd27-46c2-befb-7e8427cb679c_2	ae7e744e-fd27-46c2-befb-7e8427cb679c	Storm	"[{'docTokenBegin': 13, 'docTokenEnd': 14, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 57, 'characterOffsetEnd': 59, 'ner': 'PERSON'}]"
"He hid in the kneehole of my desk, trembling."	ae7e744e-fd27-46c2-befb-7e8427cb679c_3	ae7e744e-fd27-46c2-befb-7e8427cb679c	Storm	"[{'docTokenBegin': 20, 'docTokenEnd': 21, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 89, 'characterOffsetEnd': 91, 'ner': 'PERSON'}]"
"Once the storm was over, he acted like a brave dog again."	ae7e744e-fd27-46c2-befb-7e8427cb679c_4	ae7e744e-fd27-46c2-befb-7e8427cb679c	Storm	"[{'docTokenBegin': 31, 'docTokenEnd': 32, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Once', 'characterOffsetBegin': 135, 'characterOffsetEnd': 139, 'ner': 'DATE', 'normalizedNER': 'PAST_REF', 'timex': {'tid': 't2', 'type': 'DATE', 'value': 'PAST_REF'}}, {'docTokenBegin': 33, 'docTokenEnd': 34, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'storm', 'characterOffsetBegin': 144, 'characterOffsetEnd': 149, 'ner': 'CAUSE_OF_DEATH'}, {'docTokenBegin': 37, 'docTokenEnd': 38, 'tokenBegin': 6, 'tokenEnd': 7, 'text': 'he', 'characterOffsetBegin': 160, 'characterOffsetEnd': 162, 'ner': 'PERSON'}]"
Eric and his wife had a daughter named Meg.	f3643541-c339-4377-851d-144ea400d551_0	f3643541-c339-4377-851d-144ea400d551	Stepmother	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Eric', 'characterOffsetBegin': 0, 'characterOffsetEnd': 4, 'ner': 'PERSON'}, {'docTokenBegin': 8, 'docTokenEnd': 9, 'tokenBegin': 8, 'tokenEnd': 9, 'text': 'Meg', 'characterOffsetBegin': 39, 'characterOffsetEnd': 42, 'ner': 'PERSON'}, {'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'his', 'characterOffsetBegin': 9, 'characterOffsetEnd': 12, 'ner': 'PERSON'}]"
Eric's wife passed away.	f3643541-c339-4377-851d-144ea400d551_1	f3643541-c339-4377-851d-144ea400d551	Stepmother	"[{'docTokenBegin': 10, 'docTokenEnd': 11, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Eric', 'characterOffsetBegin': 44, 'characterOffsetEnd': 48, 'ner': 'PERSON'}]"
Eric and Meg were very sad.	f3643541-c339-4377-851d-144ea400d551_2	f3643541-c339-4377-851d-144ea400d551	Stepmother	"[{'docTokenBegin': 16, 'docTokenEnd': 17, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Eric', 'characterOffsetBegin': 69, 'characterOffsetEnd': 73, 'ner': 'PERSON'}, {'docTokenBegin': 18, 'docTokenEnd': 19, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Meg', 'characterOffsetBegin': 78, 'characterOffsetEnd': 81, 'ner': 'PERSON'}]"
Eric met a woman and married her 5 years after his wife died.	f3643541-c339-4377-851d-144ea400d551_3	f3643541-c339-4377-851d-144ea400d551	Stepmother	"[{'docTokenBegin': 23, 'docTokenEnd': 24, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Eric', 'characterOffsetBegin': 97, 'characterOffsetEnd': 101, 'ner': 'PERSON'}, {'docTokenBegin': 30, 'docTokenEnd': 32, 'tokenBegin': 7, 'tokenEnd': 9, 'text': '5 years', 'characterOffsetBegin': 130, 'characterOffsetEnd': 137, 'ner': 'DURATION', 'normalizedNER': 'P5Y', 'timex': {'tid': 't1', 'type': 'DURATION', 'value': 'P5Y'}}, {'docTokenBegin': 29, 'docTokenEnd': 30, 'tokenBegin': 6, 'tokenEnd': 7, 'text': 'her', 'characterOffsetBegin': 126, 'characterOffsetEnd': 129, 'ner': 'PERSON'}, {'docTokenBegin': 33, 'docTokenEnd': 34, 'tokenBegin': 10, 'tokenEnd': 11, 'text': 'his', 'characterOffsetBegin': 144, 'characterOffsetEnd': 147, 'ner': 'PERSON'}]"
Meg is now happy with her new stepmother.	f3643541-c339-4377-851d-144ea400d551_4	f3643541-c339-4377-851d-144ea400d551	Stepmother	"[{'docTokenBegin': 37, 'docTokenEnd': 38, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Meg', 'characterOffsetBegin': 159, 'characterOffsetEnd': 162, 'ner': 'PERSON'}, {'docTokenBegin': 39, 'docTokenEnd': 40, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'now', 'characterOffsetBegin': 166, 'characterOffsetEnd': 169, 'ner': 'DATE', 'normalizedNER': 'PRESENT_REF', 'timex': {'tid': 't2', 'type': 'DATE', 'value': 'PRESENT_REF'}}, {'docTokenBegin': 42, 'docTokenEnd': 43, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'her', 'characterOffsetBegin': 181, 'characterOffsetEnd': 184, 'ner': 'PERSON'}]"
Last year I took a day trip to see a friend in Maine.	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_0	2ef3788f-6b2b-45c8-b6ba-71450d565e6a	Maine	"[{'docTokenBegin': 0, 'docTokenEnd': 2, 'tokenBegin': 0, 'tokenEnd': 2, 'text': 'Last year', 'characterOffsetBegin': 0, 'characterOffsetEnd': 9, 'ner': 'DATE', 'normalizedNER': 'THIS P1Y OFFSET P-1Y', 'timex': {'tid': 't1', 'type': 'DATE', 'altValue': 'THIS P1Y OFFSET P-1Y'}}, {'docTokenBegin': 4, 'docTokenEnd': 6, 'tokenBegin': 4, 'tokenEnd': 6, 'text': 'a day', 'characterOffsetBegin': 17, 'characterOffsetEnd': 22, 'ner': 'DURATION', 'normalizedNER': 'P1D', 'timex': {'tid': 't3', 'type': 'DURATION', 'value': 'P1D'}}, {'docTokenBegin': 12, 'docTokenEnd': 13, 'tokenBegin': 12, 'tokenEnd': 13, 'text': 'Maine', 'characterOffsetBegin': 47, 'characterOffsetEnd': 52, 'ner': 'STATE_OR_PROVINCE'}]"
"I took the Amtrak from Boston to Saco, Maine."	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_1	2ef3788f-6b2b-45c8-b6ba-71450d565e6a	Maine	"[{'docTokenBegin': 17, 'docTokenEnd': 18, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'Amtrak', 'characterOffsetBegin': 65, 'characterOffsetEnd': 71, 'ner': 'ORGANIZATION'}, {'docTokenBegin': 19, 'docTokenEnd': 20, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'Boston', 'characterOffsetBegin': 77, 'characterOffsetEnd': 83, 'ner': 'CITY'}, {'docTokenBegin': 21, 'docTokenEnd': 22, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'Saco', 'characterOffsetBegin': 87, 'characterOffsetEnd': 91, 'ner': 'CITY'}, {'docTokenBegin': 23, 'docTokenEnd': 24, 'tokenBegin': 9, 'tokenEnd': 10, 'text': 'Maine', 'characterOffsetBegin': 93, 'characterOffsetEnd': 98, 'ner': 'STATE_OR_PROVINCE'}]"
We had lunch at Gritty's in Portland.	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_2	2ef3788f-6b2b-45c8-b6ba-71450d565e6a	Maine	"[{'docTokenBegin': 32, 'docTokenEnd': 33, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'Portland', 'characterOffsetBegin': 128, 'characterOffsetEnd': 136, 'ner': 'CITY'}]"
My friend drove me back to the train station.	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_3	2ef3788f-6b2b-45c8-b6ba-71450d565e6a	Maine	"[{'docTokenBegin': 41, 'docTokenEnd': 42, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'train', 'characterOffsetBegin': 169, 'characterOffsetEnd': 174, 'ner': 'CRIMINAL_CHARGE'}]"
I had a nice time and will visit my friend this year.	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_4	2ef3788f-6b2b-45c8-b6ba-71450d565e6a	Maine	"[{'docTokenBegin': 54, 'docTokenEnd': 56, 'tokenBegin': 10, 'tokenEnd': 12, 'text': 'this year', 'characterOffsetBegin': 227, 'characterOffsetEnd': 236, 'ner': 'DATE', 'normalizedNER': 'THIS P1Y', 'timex': {'tid': 't4', 'type': 'DATE', 'altValue': 'THIS P1Y'}}]"
Heather and her family really wanted tacos for dinner.	9a66b66d-034d-495e-a60e-e22c25e0e0fa_0	9a66b66d-034d-495e-a60e-e22c25e0e0fa	Heather cooks Tacos for the first time.	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Heather', 'characterOffsetBegin': 0, 'characterOffsetEnd': 7, 'ner': 'PERSON'}, {'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'her', 'characterOffsetBegin': 12, 'characterOffsetEnd': 15, 'ner': 'PERSON'}]"
Two of the children wanted chicken tacos.	9a66b66d-034d-495e-a60e-e22c25e0e0fa_1	9a66b66d-034d-495e-a60e-e22c25e0e0fa	Heather cooks Tacos for the first time.	"[{'docTokenBegin': 10, 'docTokenEnd': 11, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Two', 'characterOffsetBegin': 55, 'characterOffsetEnd': 58, 'ner': 'NUMBER', 'normalizedNER': '2.0'}]"
The other two children wanted beef.	9a66b66d-034d-495e-a60e-e22c25e0e0fa_2	9a66b66d-034d-495e-a60e-e22c25e0e0fa	Heather cooks Tacos for the first time.	"[{'docTokenBegin': 20, 'docTokenEnd': 21, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'two', 'characterOffsetBegin': 107, 'characterOffsetEnd': 110, 'ner': 'NUMBER', 'normalizedNER': '2.0'}]"
Heather took great care preparing all the tacos that each wanted.	9a66b66d-034d-495e-a60e-e22c25e0e0fa_3	9a66b66d-034d-495e-a60e-e22c25e0e0fa	Heather cooks Tacos for the first time.	"[{'docTokenBegin': 25, 'docTokenEnd': 26, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Heather', 'characterOffsetBegin': 133, 'characterOffsetEnd': 140, 'ner': 'PERSON'}]"
Everyone sat down at dinner and enjoyed eating the tacos together.	9a66b66d-034d-495e-a60e-e22c25e0e0fa_4	9a66b66d-034d-495e-a60e-e22c25e0e0fa	Heather cooks Tacos for the first time.	[]
